source,title,link
Times of India,Ananya turns heads in shimmery green mini dress,https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/ananya-pandey-turns-heads-in-shimmery-green-mini-dress/photostory/111202206.cms
Times of India,Geetika on working with Paritosh in Luv Ki Arrange Marriage,https://timesofindia.indiatimes.com/tv/news/hindi/exclusive-choti-sarrdaarnis-geetika-mehandru-on-working-with-paritosh-tripathi-in-luv-ki-arrange-marriage-he-is-so-smart-and-trained-i-was-always-alert-about-the-impromptu-scenes/articleshow/111226021.cms
Times of India,Sonakshi & Zaheer’s wedding pics,https://photogallery.indiatimes.com/celebs/bollywood/dreamy-inside-pictures-from-sonakshi-sinha-and-zaheer-iqbals-wedding-from-now-until-forever/articleshow/111212951.cms
Times of India,Sonakshi and Zaheer’s romance blossoms,https://photogallery.indiatimes.com/celebs/bollywood/bollywoods-best-kept-secret-sonakshi-sinha-and-zaheer-iqbals-love-story-revealed/articleshow/111183905.cms
Times of India,Triptii Dimri's Italian getaway,https://photogallery.indiatimes.com/celebs/bollywood/from-chilling-on-the-beach-to-sunkissed-selfies-inside-triptii-dimris-italian-getaway/articleshow/111009447.cms
Times of India,Karishma Tanna's vacation pics,https://photogallery.indiatimes.com/celebs/bollywood/karishma-tannas-vacation-photos-are-a-captivating-blast-of-wanderlust-experience/articleshow/110967664.cms
Times of India,Kangana Ranaut dazzles in sarees,https://photogallery.indiatimes.com/celebs/bollywood/kangana-ranaut-dazzles-in-a-series-of-stunning-sarees/articleshow/110712625.cms
Times of India,Munawar Faruqui's second wife,https://photogallery.indiatimes.com/tv/stars/heres-all-you-need-to-know-about-mehzabeen-coatwala-munawar-faruquis-second-wife/articleshow/110563771.cms
Times of India,Talented cast brings ‘Panchayat’ to life,https://photogallery.indiatimes.com/tv/shows/meet-the-talented-cast-bringing-panchayat-to-life/articleshow/110502199.cms
Times of India,Inside pics from KKR’s after-party,https://photogallery.indiatimes.com/celebs/bollywood/from-shah-rukh-khan-poses-with-rahmanullah-gurbaz-to-suhana-khan-ananya-panday-and-shanaya-kapoor-posing-with-ipl-trophy-inside-kkrs-after-party/articleshow/110479725.cms
Times of India,Raveena-Rasha's spiritual visit to Mahakal,https://photogallery.indiatimes.com/celebs/bollywood/raveena-tandon-and-her-daughter-rasha-embark-on-a-spiritual-journey-seeking-blessings-from-mahakal-see-pictures/articleshow/110438228.cms
Times of India,The Indian village that witnesses the first rays of the Sun,https://timesofindia.indiatimes.com/etimes/trending/the-indian-village-that-witnesses-the-first-rays-of-the-sun/photostory/111226301.cms
Times of India,Student's heart diagram in exam is getting viral: Here’s what it holds!,https://timesofindia.indiatimes.com/etimes/trending/students-heart-diagram-in-exam-is-getting-viral-heres-what-it-holds/articleshow/111218862.cms
Times of India,Bigg Boss OTT 3: Poulomi Das breaks down in tears as she recalls her breakup post 5 years long relationship with her Italian boyfriend,https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-ott-3-poulomi-das-breaks-down-in-tears-as-she-recalls-her-breakup-post-5-years-long-relationship-with-her-italian-boyfriend/articleshow/111218936.cms
Times of India,Bigg Boss OTT 3: Tarot card reader Munisha Khatwani reveals she experienced astral travel after a major break-up; says ‘My soul could see my body while travelling in the universe’,https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-ott-3-tarot-card-reader-munisha-khatwani-reveals-she-experienced-astral-travel-after-a-major-break-up-says-my-soul-could-see-my-body-while-travelling-in-the-universe/articleshow/111212821.cms
Times of India,10 important identification documents every Indian should own,https://timesofindia.indiatimes.com/etimes/trending/10-important-identification-documents-every-indian-should-own/photostory/111212272.cms
Times of India,9 oldest varieties of cotton found around the world,https://timesofindia.indiatimes.com/etimes/trending/9-oldest-varieties-of-cotton-found-around-the-world/photostory/111194725.cms
Times of India,Star-Studded Style! A Look at Celeb Outfits From Sonakshi Sinha & Zaheer Iqbal's Wedding Reception,https://timesofindia.indiatimes.com/videos/etimes/bollywood/star-studded-style-a-look-at-celeb-outfits-from-sonakshi-zaheers-wedding-reception/videoshow/111221733.cms
Times of India,Star-Studded Style! A Look at Celeb Outfits From Sonakshi Sinha & Zaheer Iqbal's Wedding Reception,https://timesofindia.indiatimes.com/videos/etimes/bollywood/star-studded-style-a-look-at-celeb-outfits-from-sonakshi-zaheers-wedding-reception/videoshow/111221733.cms
